trade_date,close,open,high,low,vol,pct_chg
20111121,2609.69,2608.56,2613.26,2587.74,27970.0,0.0012
20111122,2609.47,2592.23,2611.15,2580.78,29070.0,-0.0001
20111123,2584.01,2613.29,2617.09,2578.16,28530.0,-0.0098
20111124,2588.91,2565.69,2604.24,2557.70,30320.0,0.0019
20111125,2569.97,2585.14,2598.39,2563.65,23910.0,-0.0073
20111128,2573.32,2578.34,2589.35,2562.49,25670.0,0.0013
20111129,2608.57,2595.09,2609.19,2580.29,30030.0,0.0137
20111130,2521.52,2600.10,2601.90,2507.18,42350.0,-0.0334
20111201,2583.61,2596.15,2630.66,2577.72,63520.0,0.0246
20111202,2557.31,2570.56,2575.69,2543.53,32180.0,-0.0102
20111205,2521.39,2561.20,2561.20,2517.18,32060.000000000004,-0.013999999999999999
20111206,2516.34,2515.04,2525.67,2499.57,26300.0,-0.002
20111207,2528.23,2517.34,2534.53,2509.78,23260.0,0.004699999999999999
20111208,2525.00,2525.04,2549.10,2494.69,27780.0,-0.0013
20111209,2503.46,2506.62,2525.16,2496.97,24030.0,-0.0085
20111212,2477.69,2497.92,2502.05,2476.12,21900.0,-0.0103
20111213,2421.93,2467.02,2472.66,2418.67,35720.0,-0.0225
20111214,2397.48,2415.94,2433.55,2392.30,25320.0,-0.0101
20111215,2340.79,2382.44,2384.47,2340.45,36750.0,-0.0236
20111216,2390.13,2339.98,2390.38,2332.14,36300.0,0.021099999999999997
20111219,2384.41,2370.42,2387.89,2321.66,37910.0,-0.0024
20111220,2377.07,2376.71,2412.57,2373.86,32400.0,-0.0031
20111221,2339.11,2397.28,2404.78,2337.69,31210.0,-0.016
20111222,2341.34,2325.27,2358.47,2294.61,36680.0,0.001
20111223,2359.16,2337.38,2382.71,2331.96,33160.0,0.0076
20111226,2335.70,2345.55,2369.82,2334.79,28220.0,-0.009899999999999999
20111227,2305.03,2332.83,2346.38,2302.41,29280.0,-0.0131
20111228,2307.93,2295.87,2309.64,2267.11,32880.0,0.0013
20111229,2311.36,2297.29,2323.49,2293.87,30890.0,0.0015
20111230,2345.74,2318.67,2349.03,2318.67,35870.0,0.0149
20120104,2298.75,2361.50,2365.99,2298.30,34350.0,-0.02
20120105,2276.39,2290.78,2316.66,2272.15,43020.0,-0.0097
20120106,2290.60,2274.35,2291.89,2254.57,35200.0,0.0062
20120109,2368.57,2291.18,2368.89,2271.72,54730.0,0.034
20120110,2447.35,2365.77,2449.95,2361.28,81160.0,0.0333
20120111,2435.61,2444.76,2453.15,2423.32,58710.0,-0.0048
20120112,2435.22,2426.82,2464.38,2423.32,47120.0,-0.0002
20120113,2394.33,2438.41,2445.79,2374.55,45510.0,-0.0168
20120116,2345.65,2376.95,2394.50,2345.63,30530.0,-0.0203
20120117,2460.60,2347.57,2462.43,2329.25,64209.99999999999,0.049
20120118,2422.19,2464.92,2485.50,2414.53,63890.0,-0.015600000000000001
20120119,2468.35,2423.86,2480.21,2414.99,55620.0,0.0191
20120120,2504.09,2476.73,2510.34,2462.59,54530.0,0.014499999999999999
20120130,2460.72,2508.88,2508.88,2460.40,43520.0,-0.0173
20120131,2464.26,2462.34,2472.84,2447.77,30700.0,0.0014000000000000002
20120201,2428.99,2458.23,2481.66,2423.45,35020.0,-0.0143
20120202,2486.24,2437.47,2486.24,2429.71,42070.0,0.0236
20120203,2506.09,2478.34,2514.64,2470.28,49950.0,0.008
20120206,2504.32,2511.17,2520.76,2488.71,45080.0,-0.0007000000000000001
20120207,2457.95,2489.03,2489.03,2441.70,39680.0,-0.018500000000000003
20120208,2528.24,2456.42,2534.16,2451.00,56190.0,0.0286
20120209,2529.23,2525.59,2546.03,2513.13,59300.0,0.0004
20120210,2533.62,2521.68,2560.03,2521.16,61580.0,0.0017000000000000001
20120213,2531.98,2504.41,2553.45,2496.30,51910.0,-0.0006
20120214,2522.11,2528.97,2533.26,2506.54,40430.0,-0.0039000000000000003
20120215,2549.61,2515.83,2562.07,2511.29,58090.0,0.0109
20120216,2536.07,2544.64,2559.34,2519.04,54400.0,-0.0053
20120217,2537.09,2551.82,2558.34,2522.86,39000.0,0.0004
20120220,2540.71,2571.91,2574.75,2539.90,56150.0,0.0014000000000000002
20120221,2562.45,2544.84,2562.91,2520.79,47900.0,0.0086
20120222,2597.48,2564.32,2598.86,2560.34,76380.0,0.0137
20120223,2606.26,2595.78,2614.54,2590.52,70380.0,0.0034000000000000002
20120224,2648.02,2607.34,2648.02,2602.78,86000.0,0.016
20120227,2656.57,2658.12,2693.84,2656.57,101510.0,0.0032
20120228,2662.46,2652.34,2671.83,2641.46,77590.0,0.0022
20120229,2634.14,2655.86,2666.65,2631.78,59120.0,-0.0106
20120301,2633.34,2622.74,2647.78,2621.86,42150.0,-0.0003
20120302,2679.93,2637.96,2679.93,2637.96,64120.00000000001,0.0177
20120305,2662.70,2687.74,2694.61,2660.95,71400.0,-0.0064
20120306,2621.05,2654.80,2657.96,2615.60,62450.0,-0.015600000000000001
20120307,2603.01,2596.48,2628.59,2594.13,56950.0,-0.0069
20120308,2635.79,2612.40,2645.95,2612.40,57550.0,0.0126
20120309,2664.30,2644.10,2664.41,2631.41,55260.0,0.0108
20120312,2654.40,2663.24,2666.43,2636.42,62330.0,-0.0037
20120313,2681.07,2653.68,2681.33,2649.17,58400.0,0.01
20120314,2605.11,2694.47,2705.75,2595.34,108430.0,-0.028300000000000002
20120315,2585.55,2602.66,2618.25,2575.44,72570.0,-0.0075
20120316,2623.52,2591.80,2624.32,2577.24,58090.0,0.0147
20120319,2630.01,2617.66,2631.05,2598.63,57650.0,0.0025
20120320,2584.45,2622.66,2622.66,2584.02,58110.0,-0.0173
20120321,2587.79,2597.38,2613.27,2569.07,58000.0,0.0013
20120322,2583.75,2586.94,2599.24,2570.45,44930.0,-0.0016
20120323,2552.94,2575.33,2578.82,2544.53,43330.0,-0.011899999999999999
20120326,2555.44,2551.43,2562.93,2540.70,31820.0,0.001
20120327,2547.14,2565.55,2571.90,2544.37,35950.0,-0.0032
20120328,2474.90,2538.46,2540.42,2471.03,50010.0,-0.028399999999999998
20120329,2443.12,2463.69,2476.48,2429.73,46130.0,-0.0128
20120330,2454.90,2447.94,2461.98,2438.49,37030.0,0.0048
20120405,2512.83,2449.21,2517.39,2441.27,54330.0,0.0236
20120406,2519.83,2509.45,2525.53,2502.70,42370.0,0.0028000000000000004
20120409,2495.15,2510.53,2518.38,2491.59,35370.0,-0.0098
20120410,2519.79,2490.28,2519.81,2459.35,41340.0,0.009899999999999999
20120411,2520.04,2494.52,2541.13,2489.32,42510.0,0.0001
20120412,2570.44,2522.83,2570.84,2516.57,56490.0,0.02
20120413,2580.45,2575.05,2593.79,2570.03,53090.0,0.0039000000000000003
20120416,2574.04,2564.23,2586.20,2559.78,40840.0,-0.0025
20120417,2541.88,2572.36,2578.76,2541.53,37820.0,-0.0125
20120418,2599.91,2550.91,2602.11,2546.00,58690.0,0.022799999999999997
20120419,2596.06,2598.33,2606.86,2585.30,46450.0,-0.0015
20120420,2626.84,2591.51,2627.38,2589.35,61450.0,0.011899999999999999
20120423,2606.04,2624.75,2632.09,2599.11,58670.0,-0.0079
20120424,2604.87,2594.80,2640.30,2559.46,71140.0,-0.0004
20120425,2625.99,2598.23,2631.44,2593.33,62470.0,0.008100000000000001
20120426,2631.49,2632.72,2643.77,2617.09,58970.0,0.0021
20120427,2626.16,2630.55,2637.92,2623.60,48230.0,-0.002
20120502,2683.49,2660.67,2697.95,2643.53,80150.0,0.0218
20120503,2691.52,2679.52,2693.88,2675.81,59360.0,0.003
20120504,2715.88,2689.62,2716.03,2677.14,63220.0,0.0091
20120507,2717.78,2699.45,2717.78,2694.32,68550.0,0.0007000000000000001
20120508,2709.12,2717.41,2717.82,2683.56,63110.0,-0.0032
20120509,2657.51,2685.19,2685.19,2655.32,58400.0,-0.0191
20120510,2657.21,2657.87,2667.68,2649.38,46960.0,-0.0001
20120511,2636.92,2652.31,2666.57,2636.52,41010.0,-0.0076
20120514,2615.53,2653.81,2656.28,2613.35,52080.0,-0.008100000000000001
20120515,2617.37,2597.64,2618.18,2591.60,45770.0,0.0007000000000000001
20120516,2574.65,2610.16,2612.62,2574.08,43280.0,-0.0163
20120517,2613.94,2577.96,2619.59,2571.20,43730.0,0.015300000000000001
20120518,2573.98,2595.55,2603.19,2567.30,43420.0,-0.015300000000000001
20120521,2587.23,2572.37,2604.22,2563.97,38600.0,0.0051
20120522,2627.53,2598.17,2627.60,2597.60,42770.0,0.015600000000000001
20120523,2616.87,2621.79,2635.78,2598.29,43720.0,-0.0040999999999999995
20120524,2595.26,2613.09,2630.41,2588.21,42840.0,-0.0083
20120525,2573.10,2595.26,2602.17,2565.65,39270.0,-0.0085
20120528,2614.69,2562.60,2614.85,2545.34,56340.0,0.016200000000000003
20120529,2650.85,2615.14,2658.26,2612.56,72140.0,0.0138
20120530,2642.26,2646.37,2655.16,2636.52,51860.0,-0.0032
20120531,2632.04,2623.16,2645.59,2617.23,44110.0,-0.0039000000000000003
20120601,2633.00,2633.60,2653.86,2623.29,44190.0,0.0004
20120604,2559.03,2598.73,2608.32,2558.92,52480.0,-0.0281
20120605,2558.84,2565.19,2573.89,2548.76,37780.0,-0.0001
20120606,2557.40,2564.23,2573.74,2547.33,33860.0,-0.0006
20120607,2542.18,2579.43,2584.04,2536.26,34840.0,-0.006
20120608,2524.33,2558.84,2559.13,2520.41,43860.0,-0.006999999999999999
20120611,2558.26,2529.60,2565.43,2523.77,40100.0,0.0134
20120612,2540.18,2543.76,2553.91,2529.95,37940.0,-0.0070999999999999995
20120613,2580.64,2546.79,2581.11,2539.63,45020.0,0.0159
20120614,2560.42,2573.33,2584.71,2558.57,40250.0,-0.0078000000000000005
20120615,2568.05,2565.19,2580.17,2538.57,42790.0,0.003
20120618,2581.21,2576.63,2593.22,2572.99,35690.0,0.0051
20120619,2558.62,2577.36,2577.36,2556.10,32700.000000000004,-0.0088
20120620,2552.61,2563.64,2570.66,2549.44,29850.0,-0.0023
20120621,2512.18,2547.05,2547.05,2502.42,35400.0,-0.0158
20120625,2456.52,2501.16,2501.16,2455.01,40110.0,-0.0222
20120626,2454.91,2442.56,2465.12,2434.64,31730.0,-0.0007000000000000001
20120627,2447.20,2452.67,2470.76,2444.34,30010.0,-0.0031
20120628,2425.73,2451.66,2459.19,2425.24,30540.0,-0.0088
20120629,2461.61,2418.86,2462.82,2417.49,38000.0,0.0148
20120702,2465.24,2473.55,2473.97,2452.99,40510.0,0.0015
20120703,2468.72,2464.85,2490.55,2457.45,38690.0,0.0014000000000000002
20120704,2464.92,2474.53,2481.34,2455.99,34450.0,-0.0015
20120705,2430.37,2450.30,2450.30,2420.00,34730.0,-0.013999999999999999
20120706,2472.61,2435.06,2477.23,2420.36,49610.0,0.0174
20120709,2416.04,2455.89,2470.20,2414.95,49220.0,-0.0229
20120710,2406.71,2411.00,2426.53,2402.37,35550.0,-0.0039000000000000003
20120711,2425.57,2402.18,2427.80,2402.15,37620.0,0.0078000000000000005
20120712,2449.18,2420.04,2460.56,2404.58,56720.0,0.0097
20120713,2450.63,2441.01,2467.99,2438.98,36730.0,0.0006
20120716,2399.73,2452.59,2452.59,2399.61,42770.0,-0.0208
20120717,2414.20,2391.90,2421.93,2391.28,33420.0,0.006
20120718,2414.34,2412.06,2420.78,2373.65,41750.0,0.0001
20120719,2424.32,2407.44,2444.06,2401.29,46950.0,0.0040999999999999995
20120720,2398.45,2415.71,2423.80,2392.18,37620.0,-0.010700000000000001
20120723,2365.43,2379.89,2379.89,2357.51,32390.0,-0.0138
20120724,2375.99,2353.22,2392.35,2352.80,30310.0,0.0045000000000000005
20120725,2360.08,2368.38,2381.04,2357.47,24900.0,-0.0067
20120726,2347.49,2360.13,2374.87,2344.70,31310.0,-0.0053
20120727,2349.11,2353.94,2364.98,2341.29,31090.0,0.0007000000000000001
20120730,2335.79,2350.78,2367.03,2334.00,30490.0,-0.005699999999999999
20120731,2332.92,2336.88,2350.07,2329.51,32100.0,-0.0012
20120801,2358.65,2332.13,2371.12,2331.95,31420.0,0.011000000000000001
20120802,2334.88,2354.07,2358.56,2325.61,31520.0,-0.0101
20120803,2353.74,2340.25,2354.16,2329.93,29770.0,0.008100000000000001
20120806,2385.61,2350.12,2388.36,2348.12,41820.0,0.013500000000000002
20120807,2388.87,2383.26,2390.78,2379.45,38290.0,0.0014000000000000002
20120808,2389.80,2390.96,2405.18,2382.82,37810.0,0.0004
20120809,2411.70,2388.43,2412.14,2378.85,35660.0,0.0092
20120810,2399.75,2409.94,2413.42,2395.91,34700.0,-0.005
20120813,2351.93,2394.50,2394.50,2350.81,44780.0,-0.0199
20120814,2357.02,2352.66,2357.85,2324.91,39850.0,0.0022
20120815,2331.61,2350.02,2350.02,2330.15,30580.0,-0.0108
20120816,2319.67,2327.91,2335.40,2317.06,25900.0,-0.0051
20120817,2313.48,2318.43,2322.89,2295.16,26070.0,-0.0027
20120820,2301.79,2294.90,2307.41,2279.95,27400.0,-0.0051
20120821,2313.70,2301.93,2327.38,2296.55,34900.0,0.0052
20120822,2295.59,2315.14,2317.37,2285.76,31710.0,-0.0078000000000000005
20120823,2302.20,2298.18,2311.65,2285.37,31340.0,0.0029
20120824,2275.68,2295.68,2299.30,2274.57,31870.0,-0.0115
20120827,2228.20,2268.49,2268.49,2228.15,37390.0,-0.0209
20120828,2238.41,2226.90,2250.60,2222.00,33770.0,0.0046
20120829,2214.81,2230.20,2240.11,2214.43,29010.0,-0.0105
20120830,2211.37,2204.51,2223.20,2188.72,35490.0,-0.0016
20120831,2204.87,2205.57,2218.87,2203.12,25970.0,-0.0029
20120903,2228.37,2201.12,2236.56,2197.71,38550.0,0.010700000000000001
20120904,2204.41,2231.72,2234.88,2199.51,34850.0,-0.0108
20120905,2199.88,2199.74,2209.54,2186.96,34750.0,-0.0021
20120906,2217.82,2204.44,2218.68,2199.86,31700.0,0.008199999999999999
20120907,2317.18,2233.91,2341.52,2233.91,94530.0,0.044800000000000006
20120910,2326.67,2320.56,2334.50,2313.57,65330.0,0.0040999999999999995
20120911,2311.89,2316.53,2316.53,2294.82,46260.0,-0.0064
20120912,2320.07,2325.93,2337.20,2298.30,49620.0,0.0034999999999999996
20120913,2298.46,2316.68,2325.53,2298.37,42050.0,-0.009300000000000001
20120914,2315.54,2324.01,2332.42,2298.83,61570.0,0.0074
20120917,2258.70,2312.05,2314.99,2258.18,48990.0,-0.0245
20120918,2235.24,2249.43,2253.14,2228.04,33230.0,-0.0104
20120919,2246.24,2237.22,2249.24,2229.49,34350.0,0.0049
20120920,2195.95,2236.19,2236.19,2194.22,42550.0,-0.022400000000000003
20120921,2199.06,2190.33,2217.47,2186.53,38120.0,0.0014000000000000002
20120924,2215.52,2183.97,2225.80,2172.88,37500.0,0.0075
20120925,2210.15,2209.97,2225.33,2202.38,27880.0,-0.0024
20120926,2184.89,2208.91,2216.82,2181.08,27460.0,-0.011399999999999999
20120927,2251.72,2186.00,2266.30,2185.77,53020.0,0.030600000000000002
20120928,2293.11,2235.06,2297.03,2234.32,57880.0,0.0184
20121008,2270.05,2291.96,2305.18,2258.11,35530.0,-0.0101
20121009,2320.16,2281.75,2327.73,2281.75,52550.0,0.022099999999999998
20121010,2324.12,2314.59,2325.75,2304.61,42690.0,0.0017000000000000001
20121011,2302.53,2315.90,2321.35,2300.93,41300.0,-0.009300000000000001
20121012,2304.53,2311.28,2332.15,2287.01,36870.0,0.0009
